TPR,FPR,Threshold,Accuracy,Specifity,Precision,Recall,F1-score
0.9,0.138,1.298,0.884,0.862,0.896,0.9,0.898
0.91,0.141,1.238,0.888,0.859,0.895,0.91,0.902
0.92,0.143,1.221,0.893,0.857,0.895,0.92,0.907
0.93,0.147,1.198,0.897,0.853,0.893,0.93,0.911
0.94,0.16,1.144,0.897,0.84,0.886,0.94,0.912
0.95,0.176,1.008,0.896,0.824,0.877,0.95,0.912
0.96,0.191,0.913,0.895,0.809,0.869,0.96,0.912
0.97,0.212,0.773,0.892,0.788,0.858,0.97,0.911
0.98,0.223,0.711,0.893,0.777,0.853,0.98,0.912
0.99,0.228,0.688,0.896,0.772,0.852,0.99,0.916
