true positive rate,false positive rate,recall,precision,specificity,f1-measure,threshold,accuracy
0.5000514880032952,0.008547008547008548,0.5000514880032952,0.9831949787406358,0.9914529914529915,0.6629351535836178,5.327158737401756,0.7457522397281433
0.550097827206261,0.009267840593141797,0.550097827206261,0.9834315169366715,0.9907321594068582,0.705540513768738,5.125497283449185,0.7704149933065596
0.6000411904026361,0.009679744619503656,0.6000411904026361,0.9841243033271407,0.9903202553804964,0.7455220061412487,5.038179211837068,0.7951807228915663
0.6501905056121924,0.01163628874472248,0.6501905056121924,0.9824179243815154,0.9883637112552776,0.7825009294832074,4.868054733415847,0.8192771084337349
0.7000308928019772,0.014519616929255484,0.7000308928019772,0.9796800691742326,0.9854803830707445,0.8165765765765765,4.57417769235219,0.8427556379363609
0.7500772320049428,0.01884460920605499,0.7500772320049428,0.9754921655283246,0.981155390793945,0.8480614739783444,4.126183761704116,0.865616311399444
0.8000205952013181,0.04633920296570899,0.8000205952013181,0.9452488137242974,0.953660797034291,0.8665923034021192,3.6822715064269778,0.8768406961178046
0.8500669344042838,0.09484090206981773,0.8500669344042838,0.8996294681778553,0.9051590979301822,0.8741462381532271,2.810919034395573,0.8776130161672331
0.9000102976006591,0.1238801359283287,0.9000102976006591,0.8790103590465654,0.8761198640716713,0.8893863844510024,1.9659875924334496,0.8880650808361652
0.9500566368036247,0.164967562557924,0.9500566368036247,0.8520502401182121,0.835032437442076,0.8983884317639613,1.3729349361575207,0.8925445371228504
1.0,0.27710843373493976,1.0,0.7830188679245284,0.7228915662650602,0.8783068783068783,0.5459188520908356,0.8614457831325302
